ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TAXI_DIST	TRANSIT_COST	FREE_COST	av1	av2	av3	av4	HYPERP
119	1	38.7	68.17891774	62.2333333333	1.0	1	0	38.7	16.79939338	7.75	0	1	1	1	0	2.56780103711
120	1	50.0	68.79214545	96.25	0.0	1	0	50.0	20.895	7.75	0	1	1	1	0	1.31983017189
121	1	45.0	67.06555236	74.5333333333	0.0	0	0	45.0	19.82008784	7.75	0	1	1	1	0	2.00842728081
122	1	120.0	67.06555236	74.5333333333	1.0	0	0	120.0	19.82008784	7.75	0	1	1	1	0	-1.30459426012
123	1	60.0	67.06555236	74.5333333333	0.0	0	1	60.0	19.82008784	7.75	0	1	1	1	0	4.08134534587
124	1	45.0	67.06555236	74.5333333333	1.0	1	0	45.0	19.82008784	7.75	0	1	1	1	0	2.00842728081
125	1	30.0	67.06555236	74.5333333333	0.0	0	0	30.0	19.82008784	7.75	0	1	1	1	0	1.33193605599
126	1	35.0	67.06555236	74.5333333333	0.0	0	0	35.0	19.82008784	7.75	0	1	1	1	0	1.50039339865
127	1	50.0	67.06555236	74.5333333333	1.0	0	0	50.0	19.82008784	7.75	0	1	1	1	0	2.41775349293
128	1	30.0	27.70877356	38.6166666667	0.0	1	0	30.0	6.908571429	7.75	0	1	1	1	0	2.31629867234
129	1	35.0	27.70877356	38.6166666667	0.0	0	0	35.0	6.908571429	7.75	0	1	1	1	0	5.51855490138
130	1	38.7	27.70877356	38.6166666667	1.0	0	0	38.7	6.908571429	7.75	0	1	1	1	0	-239.50528272
131	1	38.7	27.70877356	38.6166666667	1.0	0	0	38.7	6.908571429	7.75	0	1	1	1	0	-239.50528272
132	1	45.0	63.90547715	72.5166666667	1.0	1	0	45.0	17.89190681	7.75	0	1	1	1	0	2.04078051423
133	1	45.0	63.90547715	72.5166666667	1.0	1	0	45.0	17.89190681	7.75	0	1	1	1	0	2.04078051423
134	1	80.0	63.90547715	72.5166666667	1.0	0	0	80.0	17.89190681	7.75	0	1	1	1	0	-7.50407267038
135	1	20.0	42.94517164	65.5333333333	1.0	0	0	20.0	12.33195248	7.75	0	1	1	1	0	0.772953989165
136	1	30.0	42.94517164	65.5333333333	1.0	0	0	30.0	12.33195248	7.75	0	1	1	1	0	0.990483254409
137	1	60.0	42.94517164	65.5333333333	0.0	0	0	60.0	12.33195248	7.75	0	1	1	1	0	6.36057318795
138	1	60.0	42.94517164	65.5333333333	1.0	0	1	60.0	12.33195248	7.75	0	1	1	1	0	6.36057318795
139	1	20.0	42.94517164	65.5333333333	1.0	0	0	20.0	12.33195248	7.75	0	1	1	1	0	0.772953989165
140	1	1.0	42.94517164	65.5333333333	1.0	0	1	1.0	12.33195248	7.75	0	1	1	1	0	0.545379725826
141	1	35.0	42.94517164	65.5333333333	1.0	0	0	35.0	12.33195248	7.75	0	1	1	1	0	1.15268029389
142	1	25.0	42.94517164	65.5333333333	0.0	1	0	25.0	12.33195248	7.75	0	1	1	1	0	0.868301931908
143	1	10.0	42.94517164	65.5333333333	1.0	0	1	10.0	12.33195248	7.75	0	1	1	1	0	0.633766596158
144	1	30.0	42.94517164	65.5333333333	1.0	1	0	30.0	12.33195248	7.75	0	1	1	1	0	0.990483254409
145	1	45.0	42.94517164	65.5333333333	1.0	0	0	45.0	12.33195248	7.75	0	1	1	1	0	1.71405056688
146	1	79.2	68.21929938	75.1166666667	1.0	1	0	79.2	20.21723229	7.75	0	1	1	1	0	-14.8088080114
147	1	60.0	66.60847718	53.6833333333	0.0	1	0	60.0	17.10824757	7.75	0	1	1	1	0	-9.31796472507
148	1	50.0	66.60847718	53.6833333333	1.0	0	0	50.0	17.10824757	7.75	0	1	1	1	0	15.9796770624
149	1	38.7	66.60847718	53.6833333333	1.0	0	0	38.7	17.10824757	7.75	0	1	1	1	0	3.92826321557
150	1	60.0	68.39660218	66.8333333333	0.0	1	0	60.0	16.37643817	7.75	0	1	1	1	0	8.87511251415
151	1	45.0	68.39660218	66.8333333333	0.0	0	0	45.0	16.37643817	7.75	0	1	1	1	0	2.77770697008
152	1	60.0	68.39660218	66.8333333333	0.0	0	1	60.0	16.37643817	7.75	0	1	1	1	0	8.87511251415
153	1	70.0	68.39660218	66.8333333333	1.0	0	1	70.0	16.37643817	7.75	0	1	1	1	0	-19.1515585832
154	1	38.7	68.39660218	66.8333333333	0.0	1	0	38.7	16.37643817	7.75	0	1	1	1	0	2.15568491161
155	1	38.7	68.39660218	66.8333333333	0.0	1	1	38.7	16.37643817	7.75	0	1	1	1	0	2.15568491161
156	1	60.0	68.39660218	66.8333333333	1.0	1	0	60.0	16.37643817	7.75	0	1	1	1	0	8.87511251415
157	1	40.0	68.39660218	66.8333333333	1.0	1	0	40.0	16.37643817	7.75	0	1	1	1	0	2.26012182037
158	1	35.0	68.39660218	66.8333333333	1.0	1	0	35.0	16.37643817	7.75	0	1	1	1	0	1.90512886429
159	1	75.0	68.39660218	66.8333333333	1.0	1	0	75.0	16.37643817	7.75	0	1	1	1	0	-7.42611455265
160	1	45.0	68.39660218	66.8333333333	1.0	0	0	45.0	16.37643817	7.75	0	1	1	1	0	2.77770697008
161	1	60.0	63.99179805	65.7333333333	0.0	0	0	60.0	19.2266559	7.75	0	1	1	1	0	9.80961593895
162	1	38.7	63.99179805	65.7333333333	1.0	0	0	38.7	19.2266559	7.75	0	1	1	1	0	2.08046108693
163	1	90.0	63.99179805	65.7333333333	1.0	0	0	90.0	19.2266559	7.75	0	1	1	1	0	-2.31765651305
164	1	70.0	64.82919017	71.1166666667	1.0	0	1	70.0	20.92561492	7.75	0	1	1	1	0	51.1156926896
165	1	60.0	37.18657779	35.15	0.0	0	1	60.0	6.18375	7.75	0	1	1	1	0	-1.18457053481
166	1	25.0	48.90327895	58.7666666667	1.0	0	1	25.0	14.15606469	7.75	0	1	1	1	0	1.21875455923
167	1	25.0	48.90327895	58.7666666667	0.0	0	1	25.0	14.15606469	7.75	0	1	1	1	0	1.21875455923
168	1	45.0	60.25857119	55.1333333333	1.0	1	0	45.0	17.38564167	7.75	0	1	1	1	0	5.18176689375
169	1	40.0	60.25857119	55.1333333333	0.0	1	0	40.0	17.38564167	7.75	0	1	1	1	0	3.46972937379
170	1	60.0	60.25857119	55.1333333333	0.0	1	0	60.0	17.38564167	7.75	0	1	1	1	0	-10.7894324363
171	1	38.7	60.25857119	55.1333333333	0.0	0	1	38.7	17.38564167	7.75	0	1	1	1	0	3.19524773976
172	1	38.7	60.25857119	55.1333333333	1.0	0	1	38.7	17.38564167	7.75	0	1	1	1	0	3.19524773976
173	1	38.7	60.25857119	55.1333333333	0.0	0	0	38.7	17.38564167	7.75	0	1	1	1	0	3.19524773976
174	1	45.0	66.83415588	70.3833333333	0.0	0	0	45.0	17.52427221	7.75	0	1	1	1	0	2.32767521523
175	1	40.0	66.83415588	70.3833333333	0.0	0	0	40.0	17.52427221	7.75	0	1	1	1	0	1.94462389073
176	1	30.0	66.83415588	70.3833333333	0.0	0	0	30.0	17.52427221	7.75	0	1	1	1	0	1.46308268791
177	1	55.0	66.83415588	70.3833333333	1.0	0	1	55.0	17.52427221	7.75	0	1	1	1	0	3.84079019805
178	1	23.0	48.3684003	73.2166666667	0.0	0	0	23.0	14.06296651	7.75	0	1	1	1	0	0.808862933289
179	1	45.0	48.3684003	73.2166666667	0.0	0	1	45.0	14.06296651	7.75	0	1	1	1	0	1.43951802599
180	1	40.0	65.62197309	92.75	0.0	0	1	40.0	20.68	7.75	0	1	1	1	0	1.09709901592
181	1	60.0	77.86252603	101.333333333	1.0	0	0	60.0	22.065	7.75	0	1	1	1	0	1.69627079105
182	1	60.0	68.44091579	73.0833333333	1.0	1	0	60.0	18.16930985	7.75	0	1	1	1	0	4.63879611134
183	1	38.7	68.44091579	73.0833333333	0.0	0	1	38.7	18.16930985	7.75	0	1	1	1	0	1.76512600456
184	1	45.0	68.44091579	73.0833333333	1.0	0	0	45.0	18.16930985	7.75	0	1	1	1	0	2.16110085899
185	1	45.0	68.44091579	73.0833333333	1.0	0	1	45.0	18.16930985	7.75	0	1	1	1	0	2.16110085899
186	1	45.0	68.04205471	65.05	1.0	1	0	45.0	17.6506841	7.75	0	1	1	1	0	3.00708502294
187	1	45.0	68.04205471	65.05	1.0	0	0	45.0	17.6506841	7.75	0	1	1	1	0	3.00708502294
188	1	45.0	68.04205471	65.05	1.0	0	1	45.0	17.6506841	7.75	0	1	1	1	0	3.00708502294
189	1	75.0	68.04205471	65.05	0.0	0	0	75.0	17.6506841	7.75	0	1	1	1	0	-6.05950298593
190	1	60.0	68.04205471	65.05	1.0	0	1	60.0	17.6506841	7.75	0	1	1	1	0	11.9390207347
191	1	40.0	68.04205471	65.05	1.0	0	0	40.0	17.6506841	7.75	0	1	1	1	0	2.4068684515
192	1	50.0	68.04205471	65.05	0.0	1	0	50.0	17.6506841	7.75	0	1	1	1	0	4.00611659203
193	1	60.0	68.04205471	65.05	1.0	0	0	60.0	17.6506841	7.75	0	1	1	1	0	11.9390207347
194	1	45.0	68.65013682	96.0	0.0	1	0	45.0	16.30275862	7.75	0	1	1	1	0	1.1941203298
195	1	40.0	68.65013682	96.0	0.0	0	1	40.0	16.30275862	7.75	0	1	1	1	0	1.08750244321
196	1	79.2	68.65013682	96.0	1.0	1	0	79.2	16.30275862	7.75	0	1	1	1	0	3.62500814405
197	1	75.0	68.65013682	96.0	1.0	0	0	75.0	16.30275862	7.75	0	1	1	1	0	2.90000651524
198	1	80.0	68.65013682	96.0	1.0	0	1	80.0	16.30275862	7.75	0	1	1	1	0	3.80625855125
199	1	45.0	68.49460435	74.75	1.0	0	1	45.0	18.31506925	7.75	0	1	1	1	0	2.04183544034
200	1	30.0	68.49460435	74.75	0.0	0	0	30.0	18.31506925	7.75	0	1	1	1	0	1.35742132626
201	1	30.0	68.49460435	74.75	0.0	0	0	30.0	18.31506925	7.75	0	1	1	1	0	1.35742132626
202	1	30.0	68.49460435	74.75	0.0	0	0	30.0	18.31506925	7.75	0	1	1	1	0	1.35742132626
203	1	45.0	68.49460435	74.75	0.0	0	0	45.0	18.31506925	7.75	0	1	1	1	0	2.04183544034
204	1	38.7	68.49460435	74.75	0.0	0	1	38.7	18.31506925	7.75	0	1	1	1	0	1.6850098294
205	1	79.2	68.49460435	74.75	0.0	0	0	79.2	18.31506925	7.75	0	1	1	1	0	-13.6504728876
206	1	40.0	68.49460435	74.75	1.0	0	0	40.0	18.31506925	7.75	0	1	1	1	0	1.74804616835
207	1	38.7	44.53693126	43.25	1.0	1	0	38.7	11.9069338	7.75	0	1	1	1	0	8.08503983736
208	1	38.7	44.53693126	43.25	1.0	0	0	38.7	11.9069338	7.75	0	1	1	1	0	8.08503983736
209	1	75.0	68.68188962	77.3833333333	0.0	0	0	75.0	18.23428021	7.75	0	1	1	1	0	25.5658278126
210	1	38.7	68.68188962	77.3833333333	0.0	1	1	38.7	18.23428021	7.75	0	1	1	1	0	1.5751457894
211	1	65.0	68.28061554	50.0166666667	0.0	1	0	65.0	17.238983	7.75	0	1	1	1	0	-4.03986310612
212	1	38.0	68.28061554	50.0166666667	1.0	0	1	38.0	17.238983	7.75	0	1	1	1	0	5.03722182025
213	1	35.0	68.28061554	50.0166666667	0.0	0	0	35.0	17.238983	7.75	0	1	1	1	0	4.03089559645
214	1	30.0	68.28061554	50.0166666667	1.0	1	0	30.0	17.238983	7.75	0	1	1	1	0	3.02401076803
215	1	35.0	68.28061554	50.0166666667	0.0	0	0	35.0	17.238983	7.75	0	1	1	1	0	4.03089559645
216	1	45.0	68.28061554	50.0166666667	0.0	0	0	45.0	17.238983	7.75	0	1	1	1	0	12.0659034299
217	1	60.0	68.28061554	50.0166666667	0.0	1	0	60.0	17.238983	7.75	0	1	1	1	0	-6.06316683205
218	1	38.7	68.28061554	50.0166666667	1.0	1	0	38.7	17.238983	7.75	0	1	1	1	0	5.3488025514
219	1	38.7	68.28061554	50.0166666667	1.0	1	0	38.7	17.238983	7.75	0	1	1	1	0	5.3488025514
220	1	90.0	68.28061554	50.0166666667	1.0	0	0	90.0	17.238983	7.75	0	1	1	1	0	-1.51389617857
221	1	30.0	64.11250404	77.0833333333	0.0	1	0	30.0	18.01786517	7.75	0	1	1	1	0	1.19707973182
222	1	30.0	64.11250404	77.0833333333	0.0	1	0	30.0	18.01786517	7.75	0	1	1	1	0	1.19707973182
223	1	75.0	64.62069762	70.65	0.0	0	0	75.0	19.81752423	7.75	0	1	1	1	0	-13.0737235908
224	1	30.0	64.62069762	70.65	0.0	0	1	30.0	19.81752423	7.75	0	1	1	1	0	1.39903315178
225	1	45.0	64.62069762	70.65	1.0	0	0	45.0	19.81752423	7.75	0	1	1	1	0	2.21718119376
226	1	30.0	47.06751005	75.9333333333	0.0	0	1	30.0	12.46944444	7.75	0	1	1	1	0	0.855969014151
227	1	30.0	63.6171793	72.1833333333	0.0	0	0	30.0	18.6724157	7.75	0	1	1	1	0	1.32438986883
