ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
184	1	35.06	68.52	72.22	7.75	0	1	1	1	0
185	1	28.72	46.05	64.05	7.75	0	1	1	1	0
186	1	28.72	46.05	64.05	7.75	0	1	1	1	0
187	1	47.49	67.83	60.83	7.75	0	1	1	1	0
188	1	47.49	67.83	60.83	7.75	0	1	1	1	0
189	1	47.49	67.83	60.83	7.75	0	1	1	1	0
190	1	47.49	67.83	60.83	7.75	0	1	1	1	0
191	1	47.49	67.83	60.83	7.75	0	1	1	1	0
192	1	47.49	67.83	60.83	7.75	0	1	1	1	0
193	1	47.49	67.83	60.83	7.75	0	1	1	1	0
194	1	47.49	67.83	60.83	7.75	0	1	1	1	0
195	1	47.17	63.97	63.78	7.75	0	1	1	1	0
196	1	35.34	61.67	55.02	7.75	0	1	1	1	0
197	1	35.34	61.67	55.02	7.75	0	1	1	1	0
198	1	35.34	61.67	55.02	7.75	0	1	1	1	0
199	1	34.71	55.47	67.52	7.75	0	1	1	1	0
200	1	40.19	68.18	62.23	7.75	0	1	1	1	0
201	1	40.19	68.18	62.23	7.75	0	1	1	1	0
202	1	40.19	68.18	62.23	7.75	0	1	1	1	0
203	1	40.19	68.18	62.23	7.75	0	1	1	1	0
204	1	40.19	68.18	62.23	7.75	0	1	1	1	0
205	1	40.19	68.18	62.23	7.75	0	1	1	1	0
206	1	40.19	68.18	62.23	7.75	0	1	1	1	0
207	1	33.20	68.79	96.25	7.75	0	1	1	1	0
208	1	48.21	67.07	74.53	7.75	0	1	1	1	0
209	1	48.21	67.07	74.53	7.75	0	1	1	1	0
210	1	48.21	67.07	74.53	7.75	0	1	1	1	0
211	1	48.21	67.07	74.53	7.75	0	1	1	1	0
212	1	48.21	67.07	74.53	7.75	0	1	1	1	0
213	1	48.21	67.07	74.53	7.75	0	1	1	1	0
214	1	48.21	67.07	74.53	7.75	0	1	1	1	0
215	1	48.21	67.07	74.53	7.75	0	1	1	1	0
216	1	48.21	67.07	74.53	7.75	0	1	1	1	0
217	1	48.21	67.07	74.53	7.75	0	1	1	1	0
218	1	48.21	67.07	74.53	7.75	0	1	1	1	0
219	1	16.15	27.71	38.62	7.75	0	1	1	1	0
220	1	16.15	27.71	38.62	7.75	0	1	1	1	0
221	1	16.15	27.71	38.62	7.75	0	1	1	1	0
222	1	16.15	27.71	38.62	7.75	0	1	1	1	0
223	1	16.15	27.71	38.62	7.75	0	1	1	1	0
224	1	16.15	27.71	38.62	7.75	0	1	1	1	0
225	1	45.33	63.91	72.52	7.75	0	1	1	1	0
226	1	45.33	63.91	72.52	7.75	0	1	1	1	0
227	1	45.33	63.91	72.52	7.75	0	1	1	1	0
228	1	26.37	42.95	65.53	7.75	0	1	1	1	0
229	1	26.37	42.95	65.53	7.75	0	1	1	1	0
230	1	26.37	42.95	65.53	7.75	0	1	1	1	0
231	1	26.37	42.95	65.53	7.75	0	1	1	1	0
232	1	26.37	42.95	65.53	7.75	0	1	1	1	0
233	1	26.37	42.95	65.53	7.75	0	1	1	1	0
234	1	26.37	42.95	65.53	7.75	0	1	1	1	0
235	1	26.37	42.95	65.53	7.75	0	1	1	1	0
236	1	26.37	42.95	65.53	7.75	0	1	1	1	0
237	1	26.37	42.95	65.53	7.75	0	1	1	1	0
238	1	26.37	42.95	65.53	7.75	0	1	1	1	0
239	1	45.23	68.22	75.12	7.75	0	1	1	1	0
240	1	45.23	68.22	75.12	7.75	0	1	1	1	0
241	1	40.97	66.61	53.68	7.75	0	1	1	1	0
242	1	40.97	66.61	53.68	7.75	0	1	1	1	0
243	1	40.97	66.61	53.68	7.75	0	1	1	1	0
244	1	40.97	66.61	53.68	7.75	0	1	1	1	0
245	1	40.97	66.61	53.68	7.75	0	1	1	1	0
246	1	40.97	66.61	53.68	7.75	0	1	1	1	0
247	1	40.97	66.61	53.68	7.75	0	1	1	1	0
248	1	37.91	68.40	66.83	7.75	0	1	1	1	0
249	1	37.91	68.40	66.83	7.75	0	1	1	1	0
250	1	37.91	68.40	66.83	7.75	0	1	1	1	0
251	1	37.91	68.40	66.83	7.75	0	1	1	1	0
252	1	37.91	68.40	66.83	7.75	0	1	1	1	0
253	1	37.91	68.40	66.83	7.75	0	1	1	1	0
254	1	37.91	68.40	66.83	7.75	0	1	1	1	0
255	1	37.91	68.40	66.83	7.75	0	1	1	1	0
256	1	37.91	68.40	66.83	7.75	0	1	1	1	0
257	1	37.91	68.40	66.83	7.75	0	1	1	1	0
258	1	37.91	68.40	66.83	7.75	0	1	1	1	0
259	1	37.91	68.40	66.83	7.75	0	1	1	1	0
260	1	37.91	68.40	66.83	7.75	0	1	1	1	0
261	1	37.91	68.40	66.83	7.75	0	1	1	1	0
262	1	37.91	68.40	66.83	7.75	0	1	1	1	0
263	1	37.91	68.40	66.83	7.75	0	1	1	1	0
264	1	37.91	68.40	66.83	7.75	0	1	1	1	0
265	1	37.91	68.40	66.83	7.75	0	1	1	1	0
266	1	37.91	68.40	66.83	7.75	0	1	1	1	0
267	1	37.91	68.40	66.83	7.75	0	1	1	1	0
268	1	43.83	63.99	65.73	7.75	0	1	1	1	0
269	1	43.83	63.99	65.73	7.75	0	1	1	1	0
270	1	43.83	63.99	65.73	7.75	0	1	1	1	0
271	1	43.83	63.99	65.73	7.75	0	1	1	1	0
272	1	43.83	63.99	65.73	7.75	0	1	1	1	0
273	1	49.08	64.83	71.12	7.75	0	1	1	1	0
274	1	49.08	64.83	71.12	7.75	0	1	1	1	0
