ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
252	1	38.7	68.12933854	83.8333333333	1.0	0	0	38.7	7.75	0	1	1	1	1
253	1	79.2	68.12933854	83.8333333333	1.0	1	0	79.2	7.75	0	1	1	1	1
254	1	10.0	33.01023753	71.2833333333	0.0	0	1	10.0	7.75	0	1	1	1	1
255	1	60.0	40.04845634	67.3166666667	1.0	0	0	60.0	7.75	0	1	1	1	1
256	1	35.0	67.64752939	68.6166666667	0.0	0	0	35.0	7.75	0	1	1	1	1
257	1	75.0	68.89495726	78.7	0.0	0	1	75.0	7.75	0	1	1	1	1
258	1	45.0	68.89495726	78.7	0.0	0	0	45.0	7.75	0	1	1	1	1
259	1	40.0	68.89495726	78.7	1.0	0	0	40.0	7.75	0	1	1	1	1
260	1	35.0	68.28222352	69.7666666667	0.0	0	0	35.0	7.75	0	1	1	1	1
261	1	75.0	68.28222352	69.7666666667	0.0	0	0	75.0	7.75	0	1	1	1	1
262	1	35.0	68.28222352	69.7666666667	1.0	0	0	35.0	7.75	0	1	1	1	1
263	1	38.7	68.28222352	69.7666666667	1.0	1	0	38.7	7.75	0	1	1	1	1
264	1	38.7	68.28222352	69.7666666667	1.0	0	0	38.7	7.75	0	1	1	1	1
265	1	40.0	68.28222352	69.7666666667	1.0	0	0	40.0	7.75	0	1	1	1	1
266	1	30.0	68.24247048	67.8833333333	1.0	0	1	30.0	7.75	0	1	1	1	1
267	1	35.0	68.24247048	67.8833333333	0.0	0	0	35.0	7.75	0	1	1	1	1
268	1	20.0	52.88347112	43.8666666667	0.0	0	0	20.0	7.75	0	1	1	1	1
269	1	40.0	65.82688167	78.9	0.0	1	0	40.0	7.75	0	1	1	1	1
270	1	20.0	57.78582513	78.9833333333	0.0	1	0	20.0	7.75	0	1	1	1	1
271	1	38.7	57.78582513	78.9833333333	0.0	1	0	38.7	7.75	0	1	1	1	1
272	1	25.0	50.67282248	40.2166666667	0.0	0	0	25.0	7.75	0	1	1	1	1
273	1	100.0	65.14715183	76.1666666667	0.0	0	0	100.0	7.75	0	1	1	1	1
274	1	75.0	68.31946108	54.6666666667	0.0	0	0	75.0	7.75	0	1	1	1	1
275	1	25.0	68.31946108	54.6666666667	0.0	1	1	25.0	7.75	0	1	1	1	1
276	1	60.0	68.31946108	54.6666666667	1.0	0	0	60.0	7.75	0	1	1	1	1
277	1	60.0	68.62897643	83.6166666667	0.0	0	1	60.0	7.75	0	1	1	1	1
278	1	30.0	68.62897643	83.6166666667	0.0	0	1	30.0	7.75	0	1	1	1	1
279	1	38.7	29.05064175	38.3166666667	1.0	0	0	38.7	7.75	0	1	1	1	1
280	1	38.7	29.05064175	38.3166666667	0.0	0	0	38.7	7.75	0	1	1	1	1
281	1	20.0	39.23197631	42.4333333333	0.0	0	0	20.0	7.75	0	1	1	1	1
282	1	38.7	39.23197631	42.4333333333	0.0	0	0	38.7	7.75	0	1	1	1	1
283	1	40.0	60.05021508	76.7166666667	1.0	0	1	40.0	7.75	0	1	1	1	1
284	1	45.0	77.91209095	93.5833333333	0.0	0	1	45.0	7.75	0	1	1	1	1
285	1	11.0	60.0011298	53.9666666667	1.0	0	0	11.0	7.75	0	1	1	1	1
286	1	30.0	60.0011298	53.9666666667	0.0	1	0	30.0	7.75	0	1	1	1	1
287	1	60.0	60.0011298	53.9666666667	1.0	0	1	60.0	7.75	0	1	1	1	1
288	1	60.0	60.0011298	53.9666666667	1.0	0	0	60.0	7.75	0	1	1	1	1
289	1	20.0	60.0011298	53.9666666667	1.0	0	1	20.0	7.75	0	1	1	1	1
290	1	30.0	60.0011298	53.9666666667	1.0	1	0	30.0	7.75	0	1	1	1	1
291	1	60.0	67.33464159	78.6	0.0	0	0	60.0	7.75	0	1	1	1	1
292	1	70.0	55.11776935	70.4166666667	0.0	1	0	70.0	7.75	0	1	1	1	1
