zipcode,taxi_mean_pickup_longitude,taxi_mean_pickup_latitude,taxi_mean_trip_distance,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,route,driving_distance,duration_in_traffic,driving_duration,transit_duration
11358,-73.803869,40.761644,12,1777,35.5,42.22931287,1,I-678 S,12.33297161,1814,1631,4110
11360,-73.78158667,40.78196633,23.07,3951.333333,48.44333333,57.62616,3,I-678 S,15.25030845,1782,1608,5384
11361,-73.766053,40.760436,15.5,1871,44.5,52.93533586,1,Cross Island Pkwy and Belt Pkwy,13.45392489,1460,1329,4307
11362,-73.722042,40.764552,21.17,2040,57,67.80481222,1,Cross Island Pkwy and Belt Pkwy,13.4837507,1232,1201,4457
11365,-73.8038914,40.7359494,16.194,2220.4,53.564,63.71749056,5,I-678 S,8.662533111,1420,1333,3179
11366,-73.7953275,40.72593825,7.875,948.75,24.5,29.14417367,4,I-678 S,8.281632688,1321,1214,3080
11367,-73.83091197,40.72395768,8.705217391,1222.347826,46.14173913,54.88827995,92,I-678 S,7.399907239,1004,841,3254
11368,-73.85511811,40.75414234,11.02246154,1424.846154,44.40938462,52.82754359,65,Grand Central Pkwy and I-678 S,10.27934045,1335,1195,3526
11369,-73.87253352,40.7681037,11.9197006,1481.161677,37.08862275,44.11907195,167,Grand Central Pkwy and I-678 S,12.2173966,1550,1470,4546
11371,-73.86984885,40.77209423,12.33195248,1582.365391,36.10178545,42.94517164,9639,Grand Central Pkwy and I-678 S,12.50509138,1610,1532,3932
11372,-73.88848838,40.7499201,12.92682759,1500.4,38.03282759,45.24225847,145,Grand Central Pkwy and I-678 S,14.46675962,1782,1724,2891
11373,-73.87893458,40.73627122,11.64636,1533.5,44.4564,52.88347112,250,I-678 S,11.23998002,1621,1457,2632
11374,-73.8624822,40.73040634,10.44639344,1285.57377,38.13147541,45.35960579,122,I-678 S,10.42536264,1490,1342,2358
11375,-73.8417351,40.72424282,8.585065963,1097.934037,37.4094723,44.50074113,379,I-678 S,8.184077441,1197,1016,2434
11377,-73.9067666,40.74527239,13.9253022,1702.961538,42.59802198,50.67282248,364,Grand Central Pkwy and I-678 S,14.92905965,1845,1791,2413
11378,-73.90717293,40.72859223,13.1650165,1767.9967,55.05118812,65.48658724,303,I-678 S,13.14261802,1688,1533,4522
11379,-73.87284756,40.72395117,10.03833333,1830.166667,47.70222222,56.74456527,18,I-678 S,11.41520664,1665,1501,3143
11385,-73.88556257,40.70521681,11.7352381,1723.142857,38.71380952,46.05232605,21,Nassau Expy,9.610123886,1604,1664,3843
11411,-73.74045125,40.69078,6.16,772.25,19.875,23.64246742,4,Belt Pkwy,7.829895971,917,867,3671
11413,-73.75021157,40.66619433,6.908571429,969.1428571,23.29333333,27.70877356,21,JFK Expressway,4.662767984,674,618,2317
11414,-73.84507742,40.66633596,5.820833333,555.5833333,36.27666667,43.15320301,24,Nassau Expy and I-678 S,5.240021643,624,608,3694
11415,-73.82767059,40.71137842,6.805263158,838.3333333,25.86087719,30.76301617,114,I-678 S,6.613872924,863,791,2230
11416,-73.85321977,40.68333938,9.01,1236.307692,42.56307692,50.6312533,13,Nassau Expy,6.347926136,997,1002,3101
11417,-73.84432235,40.67675263,6.954418605,1011.930233,31.53790698,37.51617299,43,Nassau Expy and I-678 S,5.688651505,790,759,2376
11418,-73.81925381,40.70057775,6.18375,683.3333333,31.26083333,37.18657779,72,I-678 S,6.016735393,933,863,2109
11419,-73.81654007,40.69112835,5.882112676,654.2676056,32.3284507,38.45657069,71,I-678 S,5.390393425,766,738,2338
11420,-73.80739235,40.67194956,4.713072917,598.78125,37.18869792,44.23811717,192,I-678 S,4.024619967,614,595,1888
11421,-73.8549152,40.6947006,6.828,1022.8,42.93,51.06772963,5,Nassau Expy,7.147630613,1180,1140,2390
