,MAINMODE,ODTravelTimeToAirport,zipcode,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,transit_duration,ModeGroup
135,Passenger in Car and Dropped Off at Airport,35,10469.0,38.3041666667,65.455,77.8625260334,4,101.333333333,other
136,Passenger in Car and Dropped Off at Airport,45,10469.0,38.3041666667,65.455,77.8625260334,4,101.333333333,other
137,Passenger in Car and Dropped Off at Airport,60,10469.0,38.3041666667,65.455,77.8625260334,4,101.333333333,other
141,Passenger in Car and Dropped Off at Airport,60,10029.0,33.8378619692,57.5347393822,68.4409157891,2072,73.0833333333,other
149,Passenger in Car and Dropped Off at Airport,15,10035.0,29.3475862068,57.7106206897,68.6501368246,145,96.0,other
162,Passenger in Car and Dropped Off at Airport,45,11216.0,28.7714285715,37.4398954704,44.5369312619,287,43.25,other
165,Passenger in Car and Dropped Off at Airport,35,10026.0,37.2806983718,57.7373136247,68.6818896219,778,77.3833333333,other
166,Passenger in Car and Dropped Off at Airport,60,10026.0,37.2806983718,57.7373136247,68.6818896219,778,77.3833333333,other
170,Passenger in Car and Dropped Off at Airport,25,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,other
179,Passenger in Car and Dropped Off at Airport,30,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,other
183,Passenger in Car and Dropped Off at Airport,30,11218.0,38.8239700375,53.8960674157,64.1125040448,89,77.0833333333,other
185,Passenger in Car and Dropped Off at Airport,35,11218.0,38.8239700375,53.8960674157,64.1125040448,89,77.0833333333,other
186,Passenger in Car and Dropped Off at Airport,35,11218.0,38.8239700375,53.8960674157,64.1125040448,89,77.0833333333,other
188,Passenger in Car and Dropped Off at Airport,50,11004.0,14.2666666667,29.5,35.0919642195,1,69.7166666667,other
192,Passenger in Car and Dropped Off at Airport,40,10005.0,45.6354267637,54.323279483,64.6206976238,2476,70.65,other
195,Passenger in Car and Dropped Off at Airport,15,11226.0,33.584751773,44.4712765957,52.901167698,94,66.5,other
196,Passenger in Car and Dropped Off at Airport,35,11226.0,33.584751773,44.4712765957,52.901167698,94,66.5,other
200,Passenger in Car and Dropped Off at Airport,30,11225.0,32.3137566138,39.5672222222,47.0675100504,126,75.9333333333,other
201,Passenger in Car and Dropped Off at Airport,35,11225.0,32.3137566138,39.5672222222,47.0675100504,126,75.9333333333,other
206,Passenger in Car and Dropped Off at Airport,30,11221.0,28.1725071225,37.414017094,44.5061474295,117,60.3,other
213,Passenger in Car and Dropped Off at Airport,30,11355.0,23.0123655913,31.6019354839,37.5923386192,31,50.5333333333,other
215,Passenger in Car and Dropped Off at Airport,60,10459.0,28.25,57.83,68.7921454512,2,100.616666667,other
218,Passenger in Car and Dropped Off at Airport,25,11367.0,20.3724637682,46.1417391304,54.8882799522,92,54.2333333333,other
221,Passenger in Car and Dropped Off at Airport,2,10014.0,49.6781623373,55.7357147003,66.3008713902,6891,72.3333333333,other
223,Passenger in Car and Dropped Off at Airport,30,10456.0,38.81,61.364,72.9960438089,5,99.7666666667,other
227,Passenger in Car and Dropped Off at Airport,70,10002.0,39.7790153822,53.1804193019,63.2611990278,4269,72.5833333333,other
232,Passenger in Car and Dropped Off at Airport,15,11236.0,16.5888888889,27.75,33.0102375285,6,71.2833333333,other
233,Passenger in Car and Dropped Off at Airport,15,11236.0,16.5888888889,27.75,33.0102375285,6,71.2833333333,other
234,Passenger in Car and Dropped Off at Airport,30,11236.0,16.5888888889,27.75,33.0102375285,6,71.2833333333,other
