,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
4251,DAL6300,GJS6300,1465667700.0,1465672980.0,KPWM,KLGA,CRJ7,,9.0,0.0,56.0
4252,AAL2066,,1465664940.0,1465671600.0,KCLT,KLGA,A319,,8.0,0.0,120.0
4253,AAL1910,,1465653300.0,1465660320.0,KCLT,KLGA,A319,,8.0,0.0,120.0
4254,SWA540,,1465757700.0,1465770000.0,KDAL,KLGA,B737,,0.0,0.0,143.0
4255,DAL5357,ASQ5357,1465741860.0,1465748040.0,KGSO,KLGA,CRJ7,,9.0,0.0,56.0
4256,AAL5025,JIA5025,1465739460.0,1465745400.0,KGSO,KLGA,,,0.0,0.0,50.0
4257,WJA7101,ASQ5138,1465737300.0,1465742280.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
4258,WJA6858,ASQ5355,1465768740.0,1465775280.0,KGSO,KLGA,CRJ7,,9.0,0.0,56.0
4259,WJA6619,ASQ5400,1465750800.0,1465757340.0,KGSO,KLGA,CRJ7,,9.0,0.0,56.0
4260,WJA6410,ASQ5357,1465741860.0,1465748040.0,KGSO,KLGA,CRJ7,,9.0,0.0,56.0
4261,DAL1386,,1465746300.0,1465754340.0,KATL,KLGA,MD90,First: Lunch / Economy: Lunch,16.0,0.0,144.0
4262,WJA7410,ASQ5194,1465747200.0,1465752300.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
4263,AAL3997,AWI3997,1465766400.0,1465771920.0,KRDU,KLGA,,,0.0,0.0,50.0
4264,WJA7292,ASQ5164,1465758300.0,1465763820.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
4265,DAL6183,GJS6183,1465761420.0,1465768080.0,KCMH,KLGA,CRJ7,,9.0,0.0,56.0
4266,WJA7407,ASQ5188,1465767960.0,1465773000.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
4267,AAL4204,LOF4204,1465748100.0,1465754160.0,KRDU,KLGA,E145,,0.0,0.0,50.0
4268,DAL5138,ASQ5138,1465737300.0,1465742280.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
4269,AAL4209,LOF4209,1465731600.0,1465737780.0,KRDU,KLGA,E145,,0.0,0.0,50.0
4270,AAL1104,,1465734300.0,1465746960.0,KDFW,KLGA,,,10.0,20.0,72.0
4271,DAL5194,ASQ5194,1465747200.0,1465752300.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
4272,DAL6195,GJS6195,1465754400.0,1465760940.0,KRDU,KLGA,CRJ7,,9.0,0.0,56.0
4273,DAL1286,,1465742700.0,1465751040.0,KATL,KLGA,MD90,First: Lunch / Economy: Lunch,16.0,0.0,144.0
4274,DAL5164,ASQ5164,1465758300.0,1465763820.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
4275,DAL6261,GJS6261,1465743600.0,1465750200.0,KRDU,KLGA,CRJ7,,9.0,0.0,56.0
4276,DAL5188,ASQ5188,1465767960.0,1465773000.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
4277,DAL1186,,1465739100.0,1465747560.0,KATL,KLGA,MD90,First: Breakfast / Economy: Breakfast,16.0,0.0,144.0
