,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
3648,ETD8366,JBU670,1465451820.0,1465471740.0,KSJC,KJFK,A320,,0.0,0.0,150.0
3649,AFR2765,DAL2029,1465429800.0,1465437000.0,KDTW,KJFK,,,12.0,0.0,98.0
3650,JBU670,,1465451820.0,1465471740.0,KSJC,KJFK,A320,,0.0,0.0,150.0
3651,CMP8004,AAR222,1465349400.0,1465399800.0,RKSI,KJFK,A388,First: Meal / Business: Meal / Economy: Meal,10.0,76.0,439.0
3652,VIR4600,DAL2029,1465429800.0,1465437000.0,KDTW,KJFK,,,12.0,0.0,98.0
3653,UAL7293,AAR222,1465349400.0,1465399800.0,RKSI,KJFK,A388,"First: Breakfast, Lunch / Business: Breakfast, Lunch / Economy: Breakfast, Lunch",10.0,76.0,439.0
3654,KLM6265,DAL466,1465396200.0,1465412700.0,KSLC,KJFK,B752,Economy: Food for sale,0.0,0.0,219.0
3655,SIA5722,AAR222,1465349400.0,1465399800.0,RKSI,KJFK,A388,,10.0,76.0,439.0
3656,AZA5971,DAL2029,1465429800.0,1465437000.0,KDTW,KJFK,,,12.0,0.0,98.0
3657,ARG7861,KAL81,1465347600.0,1465399200.0,RKSI,KJFK,A388,,12.0,94.0,301.0
3658,AFR3721,DAL446,1465420800.0,1465429500.0,KATL,KJFK,B752,First: Dinner / Economy: No meal,22.0,0.0,153.0
3659,DAL1002,KAL85,1465381800.0,1465434000.0,RKSI,KJFK,,Economy: Dinner,0.0,0.0,467.0
3660,CSA3031,DAL4026,1465413600.0,1465420380.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3661,DAL1003,KAL81,1465347600.0,1465399200.0,RKSI,KJFK,A388,First: Lunch / Business: Lunch / Economy: Lunch,12.0,94.0,301.0
3662,AAR222,,1465349400.0,1465399800.0,RKSI,KJFK,A388,"First: Breakfast, Lunch / Business: Breakfast, Lunch / Economy: Breakfast, Lunch",10.0,76.0,439.0
3663,KAL85,,1465381800.0,1465434000.0,RKSI,KJFK,,"Economy: Dinner, Breakfast",0.0,0.0,467.0
3664,CSN1144,DAL4026,1465413600.0,1465420380.0,KDTW,KJFK,CRJ9,Business: Complimentary Alcohol / Economy: Complimentary Alcohol,0.0,12.0,64.0
3665,KAL81,,1465347600.0,1465399200.0,RKSI,KJFK,A388,"First: Lunch, Meal / Business: Lunch, Meal / Economy: Lunch, Meal",12.0,94.0,301.0
3666,AFR2746,DAL420,1465402500.0,1465410780.0,KATL,KJFK,B738,First: Lunch / Economy: No meal,16.0,0.0,144.0
3667,FIN4081,AAL106,1465401720.0,1465420200.0,KPHX,KJFK,B738,First: Breakfast / Economy: Food for sale,16.0,0.0,134.0
3668,CES4169,DAL2029,1465429800.0,1465437000.0,KDTW,KJFK,,,12.0,0.0,98.0
