terminal,zipcode,passenger_count,trip_distance,duration,total_ex_tip,N
B,10055,1.85714285714,9.81142857143,2364.33333333,0.0,21
B,10065,1.72113794244,9.07621567979,1970.6192524,0.0,3023
B,10069,1.8005952381,10.7400892857,2501.07440476,0.0,336
B,10075,1.71875,8.51212339744,1693.8213141,0.0,1248
B,10096,2.25,9.4165,2504.2,0.0,20
B,10097,2.24444444444,10.69,4230.15555556,0.0,45
B,10103,2.0,9.69466666667,2260.73333333,0.0,15
B,10104,1.84375,10.1375,3695.703125,0.0,64
B,10105,1.53623188406,10.4915942029,2464.42028986,0.0,69
B,10106,1.91428571429,10.4177142857,2710.85714286,0.0,35
B,10107,1.0,10.66,1994.0,0.0,3
B,10110,2.16666666667,9.85833333333,2386.83333333,0.0,6
B,10111,1.8064516129,9.80451612903,2326.31182796,0.0,93
B,10112,1.73611111111,10.3556944444,2585.90277778,0.0,72
B,10115,1.5,7.911,1645.9,0.0,10
B,10118,1.8,9.22257142857,2168.45714286,0.0,35
B,10119,1.66666666667,10.0152380952,2808.14285714,0.0,21
B,10120,4.0,10.015,2699.5,0.0,2
B,10121,1.78632478632,9.60794871795,3512.76923077,0.0,117
B,10122,2.5,10.125,2511.75,0.0,8
B,10123,1.0,9.89,2358.33333333,0.0,3
B,10128,1.72080488681,7.88988501617,1422.8458498,0.0,2783
B,10151,4.0,9.92333333333,2361.66666667,0.0,3
B,10152,1.7,9.835,2024.3,0.0,50
B,10153,2.0,9.74444444444,4750.77777778,0.0,18
B,10154,1.72321428571,9.84080357143,3029.28571429,0.0,112
B,10162,1.25,8.18,1261.5,0.0,4
B,10165,1.77272727273,9.42318181818,2163.59090909,0.0,22
B,10166,2.04819277108,9.49903614458,2226.96385542,0.0,83
B,10167,2.02040816327,10.002244898,3864.91836735,0.0,49
B,10168,1.77659574468,8.91893617021,1833.80851064,0.0,94
B,10169,1.68965517241,9.49810344828,3578.81034483,0.0,58
B,10170,1.92592592593,9.43574074074,1905.87037037,0.0,54
B,10171,1.63414634146,9.65634146341,2115.90243902,0.0,41
B,10172,1.57391304348,9.73182608696,2749.99130435,0.0,115
B,10173,1.88888888889,10.4855555556,2423.22222222,0.0,9
B,10174,1.78947368421,9.33289473684,1958.72368421,0.0,76
B,10175,1.0,9.20333333333,2735.33333333,0.0,3
B,10176,2.38888888889,9.77388888889,7119.94444444,0.0,18
B,10178,1.5,9.04642857143,1795.14285714,0.0,14
B,10203,1.85714285714,13.83,2147.28571429,0.0,7
B,10275,2.66666666667,14.21,2828.0,0.0,3
B,10280,1.78329809725,14.3126427061,2391.25052854,0.0,946
B,10281,1.56441717791,14.4230674847,2525.94478528,0.0,163
B,10282,1.87521367521,14.5507863248,2560.01196581,0.0,585
B,10285,2.0,15.1075,2852.5,0.0,4
B,10301,1.27777777778,23.4838888889,3050.61111111,0.0,18
B,10303,1.0,26.215,3339.0,0.0,4
B,10304,1.18181818182,22.5154545455,3472.09090909,0.0,11
B,10305,1.6,22.3646666667,3468.8,0.0,15
B,10306,2.66666666667,25.465,3512.83333333,0.0,6
B,10308,1.0,25.07,3378.0,0.0,1
B,10309,2.0,32.005,3713.75,0.0,4
B,10310,1.8,28.076,3744.4,0.0,5
B,10312,1.83333333333,30.7816666667,4848.83333333,0.0,6
B,10314,1.88235294118,26.0276470588,3059.35294118,0.0,17
B,10451,1.62424242424,7.45381818182,1288.68484848,0.0,165
B,10452,1.78571428571,12.1830357143,1473.86607143,0.0,112
B,10453,1.61111111111,10.4271111111,1736.61111111,0.0,90
B,10454,1.65263157895,6.57778947368,1226.2,0.0,95
B,10455,1.6976744186,7.25186046512,1833.11627907,0.0,86
B,10456,1.73770491803,8.25155737705,1348.12295082,0.0,122
B,10457,1.89534883721,10.2523255814,1736.46511628,0.0,86
B,10458,1.68125,12.0835625,1765.6875,0.0,160
B,10459,1.7027027027,8.64702702703,2550.82432432,0.0,74
B,10460,1.8875,9.960375,1546.3375,0.0,80
B,10461,1.70050761421,10.7455329949,1413.75126904,0.0,197
B,10462,1.8,10.8633125,1460.99375,0.0,160
B,10463,2.05882352941,12.1717647059,1878.76470588,0.0,17
B,10464,1.47619047619,13.8319047619,1625.42857143,0.0,21
B,10465,1.88679245283,9.93547169811,1226.00943396,0.0,106
B,10466,1.5,13.91234375,1828.71875,0.0,64
B,10467,1.6339869281,12.5785620915,2246.20261438,0.0,153
B,10468,1.63953488372,11.4213953488,1715.41860465,0.0,86
B,10469,1.78846153846,12.3958653846,1507.84615385,0.0,104
B,10470,2.06896551724,14.4296551724,1839.0,0.0,29
B,10471,1.68874172185,14.1531125828,2009.01324503,0.0,151
B,10472,1.49295774648,9.73661971831,1365.54929577,0.0,71
B,10473,1.85436893204,9.46572815534,1275.9223301,0.0,103
B,10474,1.95238095238,7.63666666667,1248.71428571,0.0,21
B,10475,1.77922077922,12.6222077922,1472.8961039,0.0,77
B,11001,1.6,13.5546666667,1921.33333333,0.0,15
B,11004,1.38461538462,12.9961538462,1578.84615385,0.0,26
B,11005,1.44827586207,13.445862069,1668.93103448,0.0,29
B,11040,1.2,13.408,2110.2,0.0,5
B,11101,1.69123931624,5.66364672365,1471.30270655,0.0,2808
B,11102,1.69917958067,3.2215952598,719.605287147,0.0,1097
B,11103,1.61967213115,3.07657377049,899.236065574,0.0,1220
B,11104,1.644,4.74976,1144.782,0.0,500
B,11105,1.66438356164,2.8918297456,779.936399217,0.0,1022
B,11106,1.71117424242,3.838125,1027.7092803,0.0,1056
B,11109,1.6178343949,6.78414012739,1212.43312102,0.0,157
B,11201,1.67948332833,10.4225833584,2085.92430159,0.0,3329
B,11203,1.62564102564,14.2774871795,3077.61538462,0.0,195
B,11204,1.77586206897,16.9674137931,4530.0862069,0.0,58
B,11205,1.79327521793,9.1195267746,1880.28393524,0.0,803
B,11206,1.70166320166,7.9314968815,1739.76715177,0.0,962
B,11207,1.7375,11.4677083333,1858.9875,0.0,240
B,11208,1.6036036036,11.7433333333,2477.83783784,0.0,111
B,11209,1.80722891566,17.432811245,3059.82329317,0.0,249
B,11210,1.84,17.0666666667,3452.81333333,0.0,150
B,11211,1.69845232152,7.2263105342,1444.96804793,0.0,2003
B,11212,1.4776119403,12.9526865672,2155.20895522,0.0,134
B,11213,1.73273942094,12.2430289532,2585.23608018,0.0,449
B,11214,1.8115942029,20.3114492754,3020.60869565,0.0,69
B,11215,1.6970074813,12.3713029925,2448.17892768,0.0,1604
B,11216,1.64874551971,10.395818399,2216.97491039,0.0,837
B,11217,1.63008130081,10.8157560976,2158.08861789,0.0,1230
B,11218,1.74123989218,14.928490566,2420.86253369,0.0,371
B,11219,1.83458646617,16.0527067669,3012.14285714,0.0,133
B,11220,1.57931034483,15.7682758621,2614.48965517,0.0,145
B,11221,1.75137362637,9.60693681319,2061.49725275,0.0,728
B,11222,1.66145092461,6.91737553343,1539.39118065,0.0,1406
B,11223,1.81981981982,20.3833333333,2896.20720721,0.0,111
B,11224,1.62162162162,22.3313513514,3212.2972973,0.0,37
B,11225,1.6694214876,12.2755991736,2573.15702479,0.0,484
B,11226,1.66063348416,14.612918552,2698.86199095,0.0,442
B,11228,1.65306122449,17.9287755102,2433.51020408,0.0,49
B,11229,1.75675675676,20.0218918919,2764.22522523,0.0,111
B,11230,1.61052631579,16.8111052632,3090.18947368,0.0,190
B,11231,1.0,13.3,3244.0,0.0,1
B,11232,1.99576271186,13.9995338983,2845.68644068,0.0,236
