terminal,zipcode,passenger_count,trip_distance,duration,total_ex_tip,N
B,11237,1.83333333333,7.87166666667,973.833333333,0.0,6
B,11238,1.24137931034,10.9113793103,1775.5862069,0.0,29
B,11249,1.39393939394,7.67606060606,4040.90909091,0.0,33
B,11354,1.52941176471,3.75235294118,737.941176471,0.0,17
B,11355,1.2,4.216,1083.4,0.0,5
B,11357,1.0,4.2,321.0,0.0,1
B,11361,1.0,12.28,1033.0,0.0,2
B,11366,1.0,6.23,997.0,0.0,1
B,11367,1.0,9.04,2171.0,0.0,1
B,11368,1.88461538462,3.68884615385,768.307692308,0.0,26
B,11369,1.66666666667,1.09794326241,263.078014184,0.0,141
B,11371,1.60640961442,2.60853780671,669.089133701,0.0,1997
B,11372,1.91549295775,2.96718309859,575.591549296,0.0,71
B,11373,1.45283018868,3.82320754717,703.509433962,0.0,53
B,11374,1.1,5.941,859.1,0.0,10
B,11375,1.8125,5.893125,840.5625,0.0,16
B,11377,1.89743589744,3.91743589744,651.64957265,0.0,117
B,11378,1.66666666667,7.21666666667,936.166666667,0.0,6
B,11379,1.0,7.1,1241.0,0.0,1
B,11385,1.0,8.19142857143,1662.42857143,0.0,7
B,11413,1.0,12.37,1876.0,0.0,1
B,11415,1.625,7.17,913.25,0.0,8
B,11416,2.0,10.8,969.0,0.0,1
B,11417,1.0,10.81,2508.0,0.0,1
B,11418,1.0,10.11,1133.0,0.0,2
B,11421,1.0,7.9,2073.0,0.0,1
B,11422,1.0,12.8,1715.0,0.0,1
B,11423,2.5,8.685,769.5,0.0,2
B,11426,1.0,9.7,1252.0,0.0,1
B,11430,1.69282013323,12.1111547002,1731.25018505,0.0,1351
B,11432,1.66666666667,8.42166666667,1368.33333333,0.0,6
B,11434,1.5,10.35,1034.5,0.0,2
B,11435,2.2,7.403,938.0,0.0,10
B,11436,1.0,10.2166666667,1472.66666667,0.0,3
B,,1.60999306037,10.2839972241,1945.0388619,0.0,1441
C_and_D,83,1.77405857741,10.2580613668,2065.37377964,0.0,717
C_and_D,10001,1.67936390533,10.7328328402,2155.45931953,0.0,2704
C_and_D,10002,1.63146067416,10.9696404494,1821.37752809,0.0,445
